CodigoPersona,Clase,Tipo de derecho,Título de adquisición ,Municipio,% Participación,Fecha de adquisición,Valor catastral,Observaciones
11,Urbano,Pleno dominio,Compraventa,Madrid,50,2004,"473,000.00 €",
11,Urbano,Pleno dominio,Herencia,Madrid,12.5,2002,"251,000.00 €",
11,Urbano,Pleno dominio,Herencia,Navarra,12.5,2002,"33,000.00 €",
11,Urbano,Pleno dominio,Herencia,Baleares,12.5,2002,"32,000.00 €",
11,Rústico,Pleno dominio,Herencia,Navarra,12.5,2002,"10,000.00 €",
14,Urbano,Pleno dominio,,Madrid,50,15/12/2011,"235,349.00 €",
14,Urbano,Pleno dominio,,Madrid,50,19/12/2003,"135,149.00 €",
17,Urbano,Pleno dominio,,Madrid,50,06/04/2009,"147,728.00 €",
17,Urbano,Pleno dominio,,"Pareja, Guadalajara",100,07/10/2014,"45,519.00 €",
17,Urbano,Pleno dominio,,Madrid,100,16/04/2010,"9,115.00 €",
17,Urbano,Pleno dominio,,Madrid,100,19/10/2012,"10,931.00 €",
17,Urbano,Pleno dominio,,"Pareja, Guadalajara",100,15/07/2016,"21,000.00 €",
49,Urbano,Pleno dominio,,Madrid,50,01/09/2003,"99,833.59 €",
